entry_id,name,kegg_names,type,x,y,width,height,bgcolor,fgcolor,label,shape,reaction,component,size,link
84,hsa:10274 hsa:10735,10274;10735,gene,918.0,134.0,46.0,17.0,#BFFFBF,#000000,STAG1,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:10274+hsa:10735
85,hsa:5885,5885,gene,918.0,151.0,46.0,17.0,#BFFFBF,#000000,RAD21,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:5885
86,hsa:5933,5933,gene,243.0,143.0,46.0,17.0,#BFFFBF,#000000,RBL1,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:5933
87,hsa:1874 hsa:1875,1874;1875,gene,243.0,160.0,46.0,17.0,#BFFFBF,#000000,E2F4,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:1874+hsa:1875
88,hsa:4609,4609,gene,243.0,219.0,46.0,17.0,#BFFFBF,#000000,MYC,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:4609
89,hsa:7709,7709,gene,243.0,251.0,46.0,17.0,#BFFFBF,#000000,ZBTB17,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:7709
90,hsa:25,25,gene,413.0,526.0,46.0,17.0,#BFFFBF,#000000,ABL1,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:25
91,hsa:7027 hsa:7029,7027;7029,gene,353.0,594.0,46.0,17.0,#BFFFBF,#000000,TFDP1,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:7027+hsa:7029
92,hsa:1869 hsa:1870 hsa:1871,1869;1870;1871,gene,353.0,577.0,46.0,17.0,#BFFFBF,#000000,E2F1,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:1869+hsa:1870+hsa:1871
93,hsa:3065 hsa:3066,3065;3066,gene,413.0,550.0,46.0,17.0,#BFFFBF,#000000,HDAC1,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:3065+hsa:3066
94,hsa:5925,5925,gene,353.0,536.0,46.0,17.0,#BFFFBF,#000000,RB1,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:5925
95,hsa:5933 hsa:5934,5933;5934,gene,298.0,536.0,46.0,17.0,#BFFFBF,#000000,RBL1,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:5933+hsa:5934
96,hsa:7027 hsa:7029,7027;7029,gene,298.0,594.0,46.0,17.0,#BFFFBF,#000000,TFDP1,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:7027+hsa:7029
97,hsa:1874 hsa:1875,1874;1875,gene,298.0,577.0,46.0,17.0,#BFFFBF,#000000,E2F4,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:1874+hsa:1875
98,hsa:7027 hsa:7029,7027;7029,gene,243.0,177.0,46.0,17.0,#BFFFBF,#000000,TFDP1,rectangle,"","",1,http://www.kegg.jp/dbget-bin/www_bget?hsa:7027+hsa:7029
99,undefined,4089;4087;4088,group,327.0,168.0,46.0,34.0,#FFFFFF,#000000,SMAD4/SMAD2,rectangle,"",53;54,2,""
100,undefined,1017;898;9134,group,335.0,459.0,46.0,34.0,#FFFFFF,#000000,CDK2/CCNE1,rectangle,"",68;72,2,""
101,undefined,1022;902,group,552.0,459.0,46.0,34.0,#FFFFFF,#000000,CDK7/CCNH,rectangle,"",66;70,2,""
102,undefined,1017;890;8900,group,457.0,459.0,46.0,34.0,#FFFFFF,#000000,CDK2/CCNA2,rectangle,"",67;71,2,""
103,undefined,983;890;8900,group,689.0,459.0,46.0,34.0,#FFFFFF,#000000,CDK1/CCNA2,rectangle,"",63;65,2,""
104,undefined,23595;5001;5000;4999;4998;23594,group,100.0,687.0,92.0,51.0,#FFFFFF,#000000,ORC3/ORC5/ORC4,rectangle,"",10;11;12;13;14;9,6,""
105,undefined,4176;4175;4174;4173;4172;4171,group,222.0,687.0,91.0,51.0,#FFFFFF,#000000,MCM7/MCM6/MCM5,rectangle,"",15;16;17;18;19;20,6,""
106,undefined,10926;8317,group,532.0,617.0,46.0,34.0,#FFFFFF,#000000,DBF4/CDC7,rectangle,"",26;55,2,""
107,undefined,983;85417;891;9133,group,780.0,459.0,46.0,34.0,#FFFFFF,#000000,CDK1/CCNB3,rectangle,"",21;64,2,""
108,undefined,1019;1021;595;894;896,group,227.0,459.0,46.0,34.0,#FFFFFF,#000000,CDK4/CCND1,rectangle,"",69;73,2,""
109,undefined,6502;6500;8454;9978,group,188.0,527.0,46.0,34.0,#FFFFFF,#000000,SKP2/SKP1,rectangle,"",45;7,2,""
110,undefined,6502;6500;8454;9978,group,432.0,199.0,46.0,34.0,#FFFFFF,#000000,SKP2/SKP1,rectangle,"",38;8,2,""
111,undefined,10393;246184;25847;29882;29945;51433;51434;51529;64682;8697;8881;996;991,group,919.0,305.0,46.0,34.0,#FFFFFF,#000000,ANAPC10/CDC20,rectangle,"",5;57,2,""
112,undefined,51343;10393;246184;25847;29882;29945;51433;51434;51529;64682;8697;8881;996,group,919.0,527.0,46.0,34.0,#FFFFFF,#000000,FZR1/ANAPC10,rectangle,"",2;6,2,""
113,undefined,701;10459;4085;9184,group,830.0,298.0,46.0,51.0,#FFFFFF,#000000,BUB1B/MAD2L2/BUB3,rectangle,"",22;27;29,3,""
114,undefined,27127;8243;9126;10274;10735;5885,group,918.0,134.0,92.0,51.0,#FFFFFF,#000000,SMC1B/SMC3/STAG1,rectangle,"",43;83;84;85,4,""
115,undefined,7027;7029;1874;1875,group,298.0,585.0,46.0,34.0,#FFFFFF,#000000,TFDP1/E2F4,rectangle,"",96;97,2,""
116,undefined,7027;7029;1869;1870;1871,group,353.0,585.0,46.0,34.0,#FFFFFF,#000000,TFDP1/E2F1,rectangle,"",91;92,2,""
117,undefined,5933;1874;1875;7027;7029,group,243.0,160.0,46.0,51.0,#FFFFFF,#000000,RBL1/E2F4/TFDP1,rectangle,"",86;87;98,3,""
