source,target,edge_type,subtype,value,source_kind,reversible,n_points
BiochemicalReaction_6e87a95aea6d461f1e22c5a6c9a3b9ee_LEFT_TO_RIGHT,PhysicalEntity_647ec4d047adde4a098bef258c43cdfe,production,production,BiochemicalReaction_6e87a95aea6d461f1e22c5a6c9a3b9ee_LEFT_TO_RIGHT-output--to--PhysicalEntity_647ec4d047adde4a098bef258c43cdfe,arc,false,2
SmallMolecule_db0211694be3283c6b1fb217c8f331ac,TransportWithBiochemicalReaction_f5087bb3d08ca1f140b607966ed12c58_LEFT_TO_RIGHT,consumption,consumption,SmallMolecule_db0211694be3283c6b1fb217c8f331ac--to--TransportWithBiochemicalReaction_f5087bb3d08ca1f140b607966ed12c58_LEFT_TO_RIGHT-input,arc,false,2
Protein_608bc3adf283a9858c923f468826fcb4,BiochemicalReaction_f3087e7a2ee72e1e0d0e73a12bfc469d_LEFT_TO_RIGHT,catalysis,catalysis,Protein_608bc3adf283a9858c923f468826fcb4--to--BiochemicalReaction_f3087e7a2ee72e1e0d0e73a12bfc469d_LEFT_TO_RIGHT,arc,false,2
SmallMolecule_b8939555edb74517abd9c2e5c8d1330d,BiochemicalReaction_2cc16d77fc72d95d1e52bbee0e9d715e_LEFT_TO_RIGHT,consumption,consumption,SmallMolecule_b8939555edb74517abd9c2e5c8d1330d--to--BiochemicalReaction_2cc16d77fc72d95d1e52bbee0e9d715e_LEFT_TO_RIGHT-input,arc,false,2
ComplexAssembly_767eee672fa72dda0d5c288f088506f2_LEFT_TO_RIGHT,SmallMolecule_1001e1fb13025a56e761165c244fc5ac,production,production,ComplexAssembly_767eee672fa72dda0d5c288f088506f2_LEFT_TO_RIGHT-output--to--SmallMolecule_1001e1fb13025a56e761165c244fc5ac,arc,false,2
Protein_b8e33f6ebba469f6187e8e8b6641868e,ComplexAssembly_f47e0d5b28f6243507de1032e1de825f_LEFT_TO_RIGHT,consumption,consumption,Protein_b8e33f6ebba469f6187e8e8b6641868e--to--ComplexAssembly_f47e0d5b28f6243507de1032e1de825f_LEFT_TO_RIGHT-input,arc,false,2
Protein_b734927c10297d1db3f9bc290d7a06b5,ComplexAssembly_9bf4b262cc22131761ac325f71776887_LEFT_TO_RIGHT,consumption,consumption,Protein_b734927c10297d1db3f9bc290d7a06b5--to--ComplexAssembly_9bf4b262cc22131761ac325f71776887_LEFT_TO_RIGHT-input,arc,false,2
SmallMolecule_db0211694be3283c6b1fb217c8f331ac,ComplexAssembly_5d5a36cb4c542b01b73c18e0cfb5cdfe_LEFT_TO_RIGHT,consumption,consumption,SmallMolecule_db0211694be3283c6b1fb217c8f331ac--to--ComplexAssembly_5d5a36cb4c542b01b73c18e0cfb5cdfe_LEFT_TO_RIGHT-input,arc,false,2
Protein_ef666e393918c05a3451b9106e520495,ComplexAssembly_954a7a8a2113a944616d9b24360d9a0c_LEFT_TO_RIGHT,consumption,consumption,Protein_ef666e393918c05a3451b9106e520495--to--ComplexAssembly_954a7a8a2113a944616d9b24360d9a0c_LEFT_TO_RIGHT-input,arc,false,2
Complex_33b98f178303ceef166819f17daaed43,ComplexAssembly_4452e9c3db09f8ecc0a0b4dc4c4c100c_LEFT_TO_RIGHT,consumption,consumption,Complex_33b98f178303ceef166819f17daaed43--to--ComplexAssembly_4452e9c3db09f8ecc0a0b4dc4c4c100c_LEFT_TO_RIGHT-input,arc,false,2
ComplexAssembly_5d5a36cb4c542b01b73c18e0cfb5cdfe_LEFT_TO_RIGHT,Complex_4e65cdd554d14679587b7822e6426705,production,production,ComplexAssembly_5d5a36cb4c542b01b73c18e0cfb5cdfe_LEFT_TO_RIGHT-output--to--Complex_4e65cdd554d14679587b7822e6426705,arc,false,2
SmallMolecule_d6e1edab5acc63ab37e4709f277a00f3,ComplexAssembly_9bf4b262cc22131761ac325f71776887_LEFT_TO_RIGHT,consumption,consumption,SmallMolecule_d6e1edab5acc63ab37e4709f277a00f3--to--ComplexAssembly_9bf4b262cc22131761ac325f71776887_LEFT_TO_RIGHT-input,arc,false,2
TransportWithBiochemicalReaction_8a45a1be27f560829e22f0215b13d95c_LEFT_TO_RIGHT,SmallMolecule_7900c8b1b134ced992834480db9f57ce,production,production,TransportWithBiochemicalReaction_8a45a1be27f560829e22f0215b13d95c_LEFT_TO_RIGHT-output--to--SmallMolecule_7900c8b1b134ced992834480db9f57ce,arc,false,2
Protein_909ce67b3192938e0043155e62a78e04,TransportWithBiochemicalReaction_cdfb85d74c8e3e989308627d1b668822_LEFT_TO_RIGHT,stimulation,stimulation,Protein_909ce67b3192938e0043155e62a78e04--to--TransportWithBiochemicalReaction_cdfb85d74c8e3e989308627d1b668822_LEFT_TO_RIGHT,arc,false,2
Protein_29affa8c14b24efa919422a19945a414,BiochemicalReaction_2cc16d77fc72d95d1e52bbee0e9d715e_LEFT_TO_RIGHT,catalysis,catalysis,Protein_29affa8c14b24efa919422a19945a414--to--BiochemicalReaction_2cc16d77fc72d95d1e52bbee0e9d715e_LEFT_TO_RIGHT,arc,false,2
Complex_44d4dcd34a2e5efec04d9de60ae65344,ComplexAssembly_1504cd8c0f124af41a9ca0553fba74bc_LEFT_TO_RIGHT,consumption,consumption,Complex_44d4dcd34a2e5efec04d9de60ae65344--to--ComplexAssembly_1504cd8c0f124af41a9ca0553fba74bc_LEFT_TO_RIGHT-input,arc,false,2
SmallMolecule_b8939555edb74517abd9c2e5c8d1330d,TransportWithBiochemicalReaction_d172bbccfedc1052d7dbba0c3a95bc8b_LEFT_TO_RIGHT,consumption,consumption,SmallMolecule_b8939555edb74517abd9c2e5c8d1330d--to--TransportWithBiochemicalReaction_d172bbccfedc1052d7dbba0c3a95bc8b_LEFT_TO_RIGHT-input,arc,false,2
ComplexAssembly_f47e0d5b28f6243507de1032e1de825f_LEFT_TO_RIGHT,Complex_c0c21acd06cad8915dc6d562a17cb92b,production,production,ComplexAssembly_f47e0d5b28f6243507de1032e1de825f_LEFT_TO_RIGHT-output--to--Complex_c0c21acd06cad8915dc6d562a17cb92b,arc,false,2
SmallMolecule_0c4a7b14fac6746b352a030f1ba4c1be,BiochemicalReaction_f3087e7a2ee72e1e0d0e73a12bfc469d_LEFT_TO_RIGHT,consumption,consumption,SmallMolecule_0c4a7b14fac6746b352a030f1ba4c1be--to--BiochemicalReaction_f3087e7a2ee72e1e0d0e73a12bfc469d_LEFT_TO_RIGHT-input,arc,false,2
ComplexAssembly_1504cd8c0f124af41a9ca0553fba74bc_LEFT_TO_RIGHT,Protein_a71e0202399297eb56653c5a0d76d30d,production,production,ComplexAssembly_1504cd8c0f124af41a9ca0553fba74bc_LEFT_TO_RIGHT-output--to--Protein_a71e0202399297eb56653c5a0d76d30d,arc,false,2
ComplexAssembly_ae49a1ad0abec2d9506862a8877b1643_LEFT_TO_RIGHT,SmallMolecule_0ece5ca970bf9e5df0cc2df7e8211267,production,production,ComplexAssembly_ae49a1ad0abec2d9506862a8877b1643_LEFT_TO_RIGHT-output--to--SmallMolecule_0ece5ca970bf9e5df0cc2df7e8211267,arc,false,2
Complex_4e65cdd554d14679587b7822e6426705,ComplexAssembly_d33547adc489f029e16f1992c0b4cf2e_LEFT_TO_RIGHT,consumption,consumption,Complex_4e65cdd554d14679587b7822e6426705--to--ComplexAssembly_d33547adc489f029e16f1992c0b4cf2e_LEFT_TO_RIGHT-input,arc,false,2
Protein_909ce67b3192938e0043155e62a78e04,TransportWithBiochemicalReaction_8a45a1be27f560829e22f0215b13d95c_LEFT_TO_RIGHT,stimulation,stimulation,Protein_909ce67b3192938e0043155e62a78e04--to--TransportWithBiochemicalReaction_8a45a1be27f560829e22f0215b13d95c_LEFT_TO_RIGHT,arc,false,2
