entrez_id	symbol
100128189	LOC100128189
100128190	LOC100128190
100128191	LOC100128191
100128196	LOC100128196
100128197	LOC100128197
100128198	LOC100128198
100128199	LOC100128199
100128201	LOC100128201
100128202	FLJ25694
100128203	LOC100128203
100128204	LOC100128204
100128206	LOC100128206
100128208	LOC100128208
100128209	LOC100128209
100128210	LOC100128210
100128211	LOC100128211
100128213	LOC100128213
100128214	LOC100128214
100128215	LOC100128215
100128217	LOC100128217
100128218	PSMC6P3
100128219	LOC100128219
100128220	LOC100128220
100128221	LOC100128221
100128222	LOC100128222
100128223	LOC100128223
100128224	LOC100128224
100128225	LOC100128225
100128226	LOC100128226
100128227	LOC100128227
100128228	LOC100128228
100128230	LOC100128230
100128232	LOC100128232
100128233	LOC100128233
100128234	LOC100128234
100128235	LOC100128235
100128236	GAFA3
100128237	LOC100128237
100128238	LOC100128238
100128239	LOC100128239
100128240	LOC100128240
100128242	LOC100128242
100128244	LOC100128244
100128245	LOC100128245
100128247	LOC100128247
100128248	LOC100128248
100128250	RPL31P55
100128252	LOC100128252
100128253	LOC100128253
100128254	LOC100128254
100128255	LOC100128255
100128256	LOC100128256
100128258	RPS18P3
100128259	LOC100128259
100128260	hCG_1742852
100128261	LOC100128261
100128262	LOC100128262
100128263	LOC100128263
100128264	LOC100128264
100128265	LOC100128265
100128266	LOC100128266
100128267	LOC100128267
100128268	LOC100128268
100128269	LOC100128269
100128270	LOC100128270
100128272	LOC100128272
100128274	LOC100128274
100128275	LOC100128275
100128276	LOC100128276
100128277	RPL35AP20
100128278	LOC100128278
100128279	LOC100128279
100128281	LOC100128281
100128282	LOC100128282
100128283	LOC100128283
100128284	LOC100128284
100128285	DNM1P35
100128286	LOC100128286
100128288	LOC100128288
100128291	LOC100128291
100128292	LOC100128292
100128293	LOC100128293
100128294	LOC100128294
100128295	LOC100128295
100128296	LOC100128296
100128297	LOC100128297
100128298	OCR1
100128299	LOC100128299
100128300	LOC100128300
100128302	LOC100128302
100128304	LOC100128304
100128305	RPS13P1
100128307	LOC100128307
100128308	LOC100128308
100128309	LOC100128309
100128310	RP11-429E11.3
100128311	LOC100128311
100128312	LOC100128312
100128313	LOC100128313
100128314	hCG_1773238
100128315	TMEM210
100128316	LOC100128316
100128317	LOC100128317
100128318	RPL26P17
100128319	LOC100128319
100128320	LOC100128320
100128321	LOC100128321
100128322	LOC100128322
100128323	LOC100128323
100128324	LOC100128324
100128325	LOC100128325
100128326	LOC100128326
100128327	BET3L
100128328	LOC100128328
100128329	PRO2958
100128332	LOC100128332
100128333	LOC100128333
100128334	LOC100128334
100128335	LOC100128335
100128336	LOC100128336
100128337	RP11-309I15.2
100128338	hCG_1995004
100128339	LOC100128339
100128340	LOC100128340
100128341	LOC100128341
100128342	LOC100128342
100128343	LOC100128343
100128345	LOC100128345
100128346	LOC100128346
100128347	RPL15P15
100128348	LOC100128348
100128349	LOC100128349
100128351	RPL21P52
100128353	LOC100128353
100128354	LOC100128354
100128355	LOC100128355
100128356	LOC100128356
100128358	RPS6P24
100128360	LOC100128360
100128361	LOC100128361
100128362	LOC100128362
100128364	LOC100128364
100128365	LOC100128365
100128366	LOC100128366
100128367	LOC100128367
100128368	LOC100128368
100128370	LOC100128370
100128371	LOC100128371
100128372	LOC100128372
100128373	LOC100128373
100128374	LOC100128374
100128377	RPS29P7
100128378	C3orf74
100128379	LOC100128379
100128380	LOC100128380
100128381	LOC100128381
100128382	LOC100128382
100128383	LOC100128383
100128384	LOC100128384
100128385	C9orf110
100128386	LOC100128386
100128390	LOC100128390
100128392	LOC100128392
